,text,rating,category,product_name,product_id,sold,shop_id,product_url
22,"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
23,Barang sesuai deskripsi,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
24,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
25,barang sudah sampai sesuai pesanan .,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
26,Thanksssssssssssssss,3,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
27,Barang bagus sesuai info fast response,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
28,"barang ok....
pengriman cepet....",5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
29,barang sudah sy terima gan thanks,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
30,paket telah diterima baik.. Terima kasih,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
31,"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
32,"barang sudah di terima, terima kasih ....",4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
33,Barang sudah diterima .........,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
34,sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
35,sesuai deskripsi barangnya,5,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
36,Produk sesuai pesanan tp blm dcoba,4,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
37,Proses cepat dan mantap,5,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
38,sesuai deskripsi barangnya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
39,Bagus sesuai dgn deskripsi thnks.,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
40,Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
41,seller is good. produknya mantap. 5 stars ya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
42,"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
43,"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
44,Produk diterima utuh tersegel.. semoga awet,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
45,"Sesuai order, pengiriman cepat, respon cepat",4,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
46,Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
47,Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
48,"Makasih gan, barang sesuai",5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
49,Pengiriman cepat. Fast respon. Barang sesuai. Trims,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
50,"Produknya bagus, berkualitas, dan berfungsi dg baik",5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
51,brg diterima dg baik&amp; lengkap,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
52,Great Product &amp; Great Seller,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
53,"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
54,Sesuai dengan pesanan..............,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
55,Produk berfungsi dgn baik,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
56,"produk sesuai dengan deskripsi, tapi belum dicoba",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
57,Barang sesuai diskripsi dan layanan cepat,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
58,"Sudah diterima, terima kasih",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
59,Pesanan gx sesuai dgn yg d gambar,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
60,Sudah diterima dengan baik dan bisa di pakai.,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
61,Packing rapi dan respon cepat... recommended..!,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
62,Barang sudah diterima dg baik. Thx,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
63,"Barang bagus, kualitas sesuai harga",3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
64,Terima kasih..........,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
65,"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
66,kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
67,Sesuai yg diharapkan. Terimakasih.,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
68,"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
69,suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
70,Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
71,"Produk sesuai deskripsi, packing rapi.. rekomended..!",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
72,Ok lah.. sesuai denggan harga.,3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
73,bukan merk kenmaster ternyata,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
74,Terimakasih barang sudah sampai,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
75,"Bagus..
Pengiriman cukup cepat",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
76,Siiiiiiiippppppppp...,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
77,Barang udh sampe...mksh....,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
78,Terimakasih barangnya udah sampai.,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
79,Fast respon dan terbaiks,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
80,makasih barang sudah sampai,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
81,Bagus.......top pengiriman cepat,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
82,thanksss........................,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
83,Merk beda tapi gpp yg penting ukrn sama,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
84,Lihat bintangnya aja dahhhhh,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
85,"bagus ,....................    ........",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
86,"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
87,Barang sudah sampai....tks..,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
88,"Bagus,,,,,, terimakasih .......",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
89,"barang sudah samapai gan, dan bagus",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
90,"mantafff, sangat-sangat sesuai,,,",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
91,Barang sudah diterima dengan baik...,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
92,"Pengiriman cepat, Kemasan bagus",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
93,SESUAI PERMINTAAN.. FAST RESPON,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
94,Matab...good...sesuai permintaan...,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
95,barang yg dikirim tidak sesuai pesanan,1,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
96,barang lumayan kuat.... good,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
97,sudah sampai murah meriah,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
98,"sudah di terima bos
packing bagus, aman",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
99,"makasih, barang sesuai gambar",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
100,langsung dipakai. mantap. thanks. maaf baru kasi testi,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
101,"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
102,ok.....................................,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
103,terimakasih barang sdh diterima,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
104,Unit nya sudah sampai....thanks,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
105,Barang sudah sampai.. terima kasih,3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
106,ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
107,"good.......cepat, packing aman.....",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
108,Barang sangat bagus sesuai diskripsi,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
109,mantap sampai dengan aman gan.............................,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
110,barang udah nyampe om makasihhhhh,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
111,recomended....................................,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
112,"barang sesuai, pengiriman cepat, ok",5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
113,mantab... fast respone.. tx u..,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
114,"Barang bagus, packing cukup, kurir ramah",5,pertukangan,Isi Staples Tembak 5000 pcs TCH 13/6,326529089,45,3360643,https://www.tokopedia.com/anugrahjayatools/isi-staples-tembak-5000-pcs-tch-13-6
115,Mantapppp banget ......,5,pertukangan,Isi Staples Tembak 5000 pcs TCH 13/6,326529089,45,3360643,https://www.tokopedia.com/anugrahjayatools/isi-staples-tembak-5000-pcs-tch-13-6
116,produk sesuai dan bagus. thanks,5,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
117,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
118,Terima kasih semoga bermanfaat..,5,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
119,Barang sesuai gambar dan diterima dalam kondisi baik,5,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
120,"Trmksih banyak juragan....
Atas kerjasamanya.....",5,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
